Entity,Code,Year,Agriculture,Industry,Services
Australia,AUS,1991,5.945757970792765,23.92207529651923,70.132166732688
Australia,AUS,1992,5.629016039742973,23.72756848143562,70.64341547882141
Australia,AUS,1993,5.6976959430230405,23.748824762511756,70.5534792944652
Australia,AUS,1994,5.46124294538757,23.631497763685026,70.9072592909274
Australia,AUS,1995,5.321304414656514,23.128623455851418,71.55007212949207
Australia,AUS,1996,5.396859485717354,22.62860903657481,71.97453147770784
Australia,AUS,1997,5.469699546969955,22.396013239601327,72.13428721342873
Australia,AUS,1998,5.402718134371949,22.048641261814115,72.54864060381392
Australia,AUS,1999,5.4948022197920885,21.749254869970198,72.7559429102377
Australia,AUS,2000,5.4119274329541955,22.08454676676374,72.50352580028206
Australia,AUS,2001,5.296983295345699,21.2035053816631,73.49951132299121
Australia,AUS,2002,4.886063570683619,21.364926871810443,73.74900955750594
Australia,AUS,2003,4.368065850089217,21.336091802382544,74.29584234752824
Australia,AUS,2004,4.174069375666244,21.65984394938596,74.16608667494779
Australia,AUS,2005,3.9992780238873715,21.490680352546136,74.5100416235665
Australia,AUS,2006,3.813071150802546,21.69314799576961,74.49378085342784
Australia,AUS,2007,3.7119263689725175,21.605066327138726,74.68300730388876
Australia,AUS,2008,3.604025892745074,22.09351250343309,74.30246160382184
Australia,AUS,2009,3.5285596681705345,21.901324664500677,74.57011566732879
Australia,AUS,2010,3.5262839407854925,21.707306713413338,74.76640934580116
Australia,AUS,2011,3.082497621215138,21.53347675105835,75.38402562772652
Australia,AUS,2012,3.0639137960904828,21.38635136872649,75.54973483518303
Australia,AUS,2013,2.865277657590271,21.121518161683497,76.01320418072623
Australia,AUS,2014,2.7983194977814936,20.980222734135943,76.22145776808256
Australia,AUS,2015,2.6365081054603245,20.065638802625553,77.29785309191412
Australia,AUS,2016,2.619983247159699,19.988735359797236,77.39128139304307
Australia,AUS,2017,2.59605333769472,19.430108533677398,77.97383812862789
Australia,AUS,2018,2.6168505842988963,19.887635880674186,77.49551353502693
Australia,AUS,2019,2.5582972618519477,19.058456970843324,78.38324576730473
Australia,AUS,2020,2.7659977510602025,19.191099272801065,78.04290297613873
Australia,AUS,2021,2.4984120475333467,19.500989590479218,78.00059836198744
Australia,AUS,2022,2.197427467038588,19.249259711261104,78.55331282170032
Australia,AUS,2023,2.149748042994961,19.68023039360461,78.17002156340044
Australia,AUS,2024,2.230525027513553,19.35909697462789,78.41037799785855
Australia,AUS,2025,2.176120619889731,19.29313783609126,78.53074154401901